MRUN,ANYO_PROCESO,COD_SEXO,FECHA_NACIMIENTO,RBD,CODIGO_ENS,LOCAL_EDUCACIONAL,UNIDAD_EDUCATIVA,NOMBRE_UNIDAD_EDUC,RAMA_EDUCACIONAL,DEPENDENCIA,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,CODIGO_PROVINCIA_EGRESO,NOMBRE_PROVINCIA_EGRESO,CODIGO_COMUNA_EGRESO,NOMBRE_COMUNA_EGRESO,ANYO_DE_EGRESO,PROMEDIO_NOTAS,PTJE_NEM,PORC_SUP_NOTAS,PTJE_RANKING,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,CLEC_INV_ACTUAL,MATE1_INV_ACTUAL,MATE2_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,CLEC_REG_ANTERIOR,MATE1_REG_ANTERIOR,MATE2_REG_ANTERIOR,HCSOC_REG_ANTERIOR,CIEN_REG_ANTERIOR,CLEC_INV_ANTERIOR,MATE_INV_ANTERIOR,HCSOC_INV_ANTERIOR,CIEN_INV_ANTERIOR,PROMEDIO_CM_MAX,CLEC_MAX,MATE1_MAX,MATE2_MAX,HCSOC_MAX,CIEN_MAX,RINDIO_PROCESO_ANTERIOR,RINDIO_PROCESO_ACTUAL,HABILITACION_POST,PRUEBA_REG_CL,FORMA_REG_CL,CORRECTAS_REG_CL,ERRADAS_REG_CL,OMITIDAS_REG_CL,PRUEBA_REG_M1,FORMA_REG_M1,CORRECTAS_REG_M1,ERRADAS_REG_M1,OMITIDAS_REG_M1,PRUEBA_REG_M2,FORMA_REG_M2,CORRECTAS_REG_M2,ERRADAS_REG_M2,OMITIDAS_REG_M2,PRUEBA_REG_HCS,FORMA_REG_HCS,CORRECTAS_REG_HCS,ERRADAS_REG_HCS,OMITIDAS_REG_HCS,PRUEBA_REG_CBIO,FORMA_REG_CBIO,CORRECTAS_REG_CBIO,ERRADAS_REG_CBIO,OMITIDAS_REG_CBIO,PRUEBA_REG_CFIS,FORMA_REG_CFIS,CORRECTAS_REG_CFIS,ERRADAS_REG_CFIS,OMITIDAS_REG_CFIS,PRUEBA_REG_CQUI,FORMA_REG_CQUI,CORRECTAS_REG_CQUI,ERRADAS_REG_CQUI,OMITIDAS_REG_CQUI,PRUEBA_REG_CTP,FORMA_REG_CTP,CORRECTAS_REG_CTP,ERRADAS_REG_CTP,OMITIDAS_REG_CTP,PRUEBA_INV_CL,FORMA_INV_CL,CORRECTAS_INV_CL,ERRADAS_INV_CL,OMITIDAS_INV_CL,PRUEBA_INV_M1,FORMA_INV_M1,CORRECTAS_INV_M1,ERRADAS_INV_M1,OMITIDAS_INV_M1,PRUEBA_INV_M2,FORMA_INV_M2,CORRECTAS_INV_M2,ERRADAS_INV_M2,OMITIDAS_INV_M2,PRUEBA_INV_HCS,FORMA_INV_HCS,CORRECTAS_INV_HCS,ERRADAS_INV_HCS,OMITIDAS_INV_HCS,PRUEBA_INV_CBIO,FORMA_INV_CBIO,CORRECTAS_INV_CBIO,ERRADAS_INV_CBIO,OMITIDAS_INV_CBIO,PRUEBA_INV_CFIS,FORMA_INV_CFIS,CORRECTAS_INV_CFIS,ERRADAS_INV_CFIS,OMITIDAS_INV_CFIS,PRUEBA_INV_CQUI,FORMA_INV_CQUI,CORRECTAS_INV_CQUI,ERRADAS_INV_CQUI,OMITIDAS_INV_CQUI,PRUEBA_INV_CTP,FORMA_INV_CTP,CORRECTAS_INV_CTP,ERRADAS_INV_CTP,OMITIDAS_INV_CTP
731649,2024,2,196112,9006,363,921,2,COMPLEJO EDUCACIONAL LA REINA,H2,1,13,REGION METROPOLITANA DE SANTIAGO,131,SANTIAGO,13113,LA REINA,2023,"5,35",531,50,534,334,316,0,312,0, , , , , , , , , , , , , , ,325,334,316,0,312,0,0,1,3,Competencia Lectora.,105,13,44,3,Competencia Matemática 1.,116,8,51,1,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",124,12,48,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
14671707,2024,1,196112, , , , , , , , , , , , , ,2023,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,3,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
1385994,2024,1,196201, , , , , , , , , , , , , , ,0,0,0,0,0,1000,890,0,0, , , , , ,0,909,825,0,0, , , , ,0,0,1000,890,0,0,1,1,3,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,113,60,0,0,Competencia Matemática 2.,193,48,2,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
27139903,2024,1,196201, , , , , ,H3, ,10,REGION DE LOS LAGOS,101,LLANQUIHUE, , ,2022,"5,3",515,80,515,0,0,0,0,0, , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,3,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
2088807,2024,2,196202,12758,363,3962,1,LICEO C.E.I.A. JOSE ALEJANDRO SORIA VARAS,H2,1,1,REGION DE TARAPACA,11,IQUIQUE,1101,IQUIQUE,2023,"5,5",577,50,582,338,424,328,365,389, , , , , , , , , , , , , , ,381,338,424,328,365,389,0,1,3,Competencia Lectora.,104,13,47,0,Competencia Matemática 1.,113,16,43,1,Competencia Matemática 2.,194,8,15,27,"Historia, y Cs. Sociales.",123,15,45,0,Ciencias Biología.,153,18,57,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
13671422,2024,1,196203, , , , , , , , , , , , , ,1979,"4,9",384,90,387,625,585,309,789,0,654,512,0,746,0,596,579,0,735,0, , , , ,"619,5",654,585,309,789,0,1,3,1,Competencia Lectora.,104,38,22,0,Competencia Matemática 1.,114,30,30,0,Competencia Matemática 2.,194,7,16,27,"Historia, y Cs. Sociales.",123,51,9,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,101,39,2,19,Competencia Matemática 1.,111,24,4,32,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",121,50,1,9,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
2139566,2024,2,196203,20078,363,2498,1,LICEO FUTURO CARLOS LEAL SANHUEZA,H2,3,9,REGION DE LA ARAUCANIA,91,CAUTIN,9101,TEMUCO,2023,"6,17",765,20,765,454,478,0,0,0, , , , , , , , , , , , , , ,466,454,478,0,0,0,0,1,3,Competencia Lectora.,104,22,38,0,Competencia Matemática 1.,115,20,39,1,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
6500539,2024,1,196203,2110,310,1354,1,LICEO MUNICIPAL OSCAR CASTRO ZUNIGA,H1,1,6,REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6101,RANCAGUA,1979,"6,33",808,20,839,669,773,466,682,663, , , , , , , , , , ,0,0,0,0,721,669,773,466,682,663,1,1,1,Competencia Lectora.,104,41,19,0,Competencia Matemática 1.,114,47,13,0,Competencia Matemática 2.,193,17,22,11,"Historia, y Cs. Sociales.",123,43,17,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,164,52,23,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
20500791,2024,2,196203,9726,363,2104,1,LICEO TENIENTE FRANCISCO MERY AGUIRRE,H2,2,13,REGION METROPOLITANA DE SANTIAGO,131,SANTIAGO,13116,LO ESPEJO,2023,"6,4",830,10,855,378,465,381,378,394, , , , , , , , , , , , , , ,"421,5",378,465,381,378,394,0,1,2,Competencia Lectora.,104,16,44,0,Competencia Matemática 1.,114,19,40,1,Competencia Matemática 2.,193,11,39,0,"Historia, y Cs. Sociales.",123,16,44,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,163,19,56,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
2819157,2024,2,196203,31405,363,6761,1,EDUCAR LO BARNECHEA,H2,3,13,REGION METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,2023,"6,2",774,10,806,491,478,0,0,363, , , , , , , , , , , , , , ,"484,5",491,478,0,0,363,0,1,1,Competencia Lectora.,106,26,26,8,Competencia Matemática 1.,116,20,40,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,153,16,59,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0,Competencia Lectora.,0,0,0,0,Competencia Matemática 1.,0,0,0,0,Competencia Matemática 2.,0,0,0,0,"Historia, y Cs. Sociales.",0,0,0,0,Ciencias Biología.,0,0,0,0,Ciencias Física.,0,0,0,0,Ciencias Química.,0,0,0,0,Ciencias Técnico Profesional.,0,0,0,0
